,Value1,Value2,Value3,Value4,Value5,Value6
0,66.0,33.0,29.0,528.0,43.0,843.0
1,66.0,33.0,30.0,527.0,43.0,843.0
2,66.0,34.0,29.0,527.0,43.0,843.0
3,66.0,34.0,30.0,527.0,42.0,843.0
4,66.0,33.0,29.0,528.0,42.0,843.0
5,66.0,33.0,28.0,528.0,42.0,844.0
6,67.0,33.0,29.0,528.0,43.0,844.0
7,67.0,33.0,30.0,528.0,43.0,843.0
8,67.0,33.0,30.0,528.0,43.0,844.0
9,67.0,33.0,29.0,528.0,42.0,844.0
10,67.0,33.0,29.0,528.0,43.0,844.0
11,67.0,34.0,29.0,528.0,43.0,845.0
12,67.0,34.0,29.0,528.0,42.0,844.0
13,67.0,33.0,29.0,528.0,42.0,844.0
14,67.0,33.0,30.0,528.0,43.0,844.0
15,67.0,33.0,30.0,528.0,43.0,843.0
16,67.0,34.0,29.0,527.0,43.0,845.0
17,67.0,34.0,29.0,527.0,43.0,844.0
18,66.0,33.0,29.0,528.0,43.0,844.0
19,67.0,33.0,29.0,528.0,43.0,844.0
20,66.0,33.0,30.0,528.0,43.0,844.0
21,67.0,33.0,29.0,528.0,42.0,844.0
22,67.0,33.0,29.0,528.0,43.0,843.0
23,66.0,33.0,30.0,527.0,43.0,844.0
24,66.0,32.0,29.0,528.0,43.0,844.0
25,66.0,34.0,29.0,528.0,42.0,844.0
26,66.0,33.0,29.0,528.0,43.0,844.0
27,66.0,33.0,29.0,527.0,43.0,844.0
28,65.0,32.0,29.0,528.0,42.0,844.0
29,65.0,34.0,29.0,528.0,42.0,844.0
30,66.0,33.0,29.0,528.0,43.0,844.0
31,66.0,33.0,29.0,528.0,43.0,844.0
32,66.0,34.0,30.0,527.0,42.0,845.0
33,66.0,33.0,29.0,528.0,43.0,844.0
34,66.0,34.0,30.0,528.0,42.0,845.0
35,66.0,34.0,29.0,528.0,42.0,843.0
36,67.0,34.0,30.0,527.0,43.0,844.0
37,66.0,33.0,30.0,528.0,43.0,845.0
38,67.0,33.0,28.0,528.0,43.0,844.0
39,67.0,33.0,29.0,527.0,43.0,844.0
40,67.0,34.0,29.0,527.0,43.0,845.0
41,66.0,33.0,29.0,528.0,42.0,844.0
42,67.0,34.0,28.0,528.0,43.0,845.0
43,67.0,33.0,30.0,527.0,43.0,844.0
44,66.0,33.0,29.0,528.0,43.0,844.0
45,66.0,34.0,29.0,527.0,43.0,844.0
46,67.0,33.0,30.0,528.0,43.0,844.0
47,66.0,34.0,29.0,528.0,43.0,844.0
48,66.0,33.0,29.0,528.0,43.0,844.0
49,66.0,33.0,29.0,528.0,43.0,844.0
50,66.0,33.0,29.0,528.0,43.0,844.0
51,66.0,33.0,29.0,528.0,43.0,845.0
52,66.0,33.0,29.0,527.0,43.0,845.0
53,67.0,33.0,29.0,528.0,43.0,844.0
54,66.0,34.0,29.0,528.0,43.0,844.0
55,67.0,34.0,29.0,528.0,43.0,844.0
56,67.0,33.0,29.0,528.0,43.0,844.0
57,67.0,34.0,29.0,528.0,43.0,844.0
58,66.0,33.0,29.0,528.0,42.0,844.0
59,68.0,34.0,29.0,528.0,43.0,844.0
60,67.0,33.0,29.0,528.0,44.0,844.0
61,67.0,33.0,30.0,528.0,43.0,844.0
62,67.0,33.0,29.0,527.0,43.0,844.0
63,66.0,32.0,29.0,528.0,43.0,844.0
64,67.0,33.0,29.0,527.0,43.0,845.0
65,66.0,33.0,29.0,528.0,43.0,844.0
66,66.0,33.0,29.0,527.0,43.0,844.0
67,66.0,33.0,29.0,528.0,43.0,844.0
68,66.0,33.0,30.0,528.0,44.0,844.0
69,66.0,33.0,29.0,528.0,43.0,845.0
70,67.0,33.0,29.0,528.0,43.0,844.0
71,66.0,32.0,29.0,528.0,43.0,844.0
72,66.0,33.0,29.0,527.0,43.0,845.0
73,66.0,33.0,29.0,527.0,43.0,844.0
74,66.0,33.0,30.0,528.0,42.0,843.0
75,66.0,33.0,29.0,528.0,43.0,844.0
76,66.0,33.0,29.0,528.0,43.0,843.0
77,66.0,33.0,30.0,528.0,42.0,844.0
78,66.0,33.0,29.0,528.0,43.0,844.0
79,66.0,33.0,29.0,528.0,43.0,845.0
80,66.0,33.0,29.0,527.0,42.0,843.0
