,Value1,Value2,Value3,Value4,Value5,Value6
0,29.0,53.0,14.0,650.0,8.0,854.0
1,28.0,53.0,14.0,650.0,7.0,854.0
2,29.0,53.0,13.0,650.0,7.0,855.0
3,30.0,53.0,13.0,650.0,7.0,853.0
4,29.0,52.0,15.0,650.0,7.0,855.0
5,30.0,53.0,14.0,650.0,6.0,855.0
6,29.0,53.0,14.0,650.0,8.0,854.0
7,28.0,53.0,14.0,650.0,7.0,854.0
8,29.0,37.0,14.0,651.0,7.0,855.0
9,30.0,37.0,15.0,651.0,7.0,855.0
10,29.0,37.0,13.0,651.0,7.0,855.0
11,29.0,37.0,13.0,651.0,7.0,855.0
12,29.0,37.0,13.0,650.0,7.0,855.0
13,28.0,36.0,13.0,650.0,7.0,855.0
14,29.0,36.0,15.0,650.0,6.0,854.0
15,29.0,38.0,13.0,651.0,8.0,856.0
16,29.0,38.0,13.0,651.0,7.0,854.0
17,28.0,37.0,13.0,651.0,6.0,854.0
18,30.0,37.0,14.0,651.0,7.0,855.0
19,29.0,39.0,14.0,651.0,7.0,855.0
20,28.0,37.0,14.0,651.0,7.0,855.0
21,29.0,37.0,14.0,651.0,7.0,854.0
22,29.0,38.0,13.0,651.0,7.0,854.0
23,30.0,39.0,14.0,650.0,6.0,855.0
24,29.0,38.0,13.0,650.0,6.0,855.0
25,29.0,39.0,14.0,650.0,8.0,856.0
26,29.0,38.0,14.0,651.0,7.0,855.0
27,29.0,39.0,13.0,651.0,7.0,855.0
28,30.0,39.0,13.0,651.0,7.0,855.0
29,30.0,39.0,14.0,651.0,7.0,854.0
30,29.0,39.0,14.0,651.0,7.0,855.0
31,29.0,39.0,14.0,651.0,7.0,854.0
32,29.0,39.0,13.0,650.0,7.0,856.0
33,29.0,39.0,14.0,651.0,7.0,855.0
34,29.0,38.0,13.0,651.0,7.0,855.0
35,29.0,40.0,14.0,651.0,7.0,855.0
36,29.0,38.0,14.0,651.0,7.0,855.0
37,30.0,39.0,14.0,650.0,7.0,854.0
38,28.0,39.0,14.0,651.0,7.0,855.0
39,29.0,38.0,14.0,651.0,7.0,855.0
40,29.0,39.0,13.0,651.0,7.0,856.0
41,29.0,40.0,14.0,650.0,7.0,854.0
42,29.0,39.0,13.0,651.0,7.0,856.0
43,29.0,39.0,14.0,651.0,7.0,855.0
44,29.0,40.0,14.0,651.0,6.0,854.0
45,29.0,39.0,13.0,651.0,7.0,855.0
46,29.0,39.0,14.0,650.0,7.0,854.0
47,28.0,38.0,13.0,650.0,7.0,855.0
48,29.0,38.0,13.0,651.0,7.0,854.0
49,29.0,39.0,13.0,651.0,7.0,855.0
50,28.0,38.0,14.0,651.0,7.0,854.0
51,29.0,39.0,14.0,650.0,7.0,856.0
52,29.0,39.0,13.0,651.0,7.0,855.0
53,30.0,39.0,14.0,651.0,7.0,854.0
54,29.0,38.0,14.0,651.0,6.0,855.0
55,29.0,38.0,14.0,651.0,6.0,855.0
56,29.0,39.0,14.0,651.0,6.0,855.0
57,29.0,39.0,13.0,651.0,7.0,855.0
58,28.0,41.0,14.0,650.0,7.0,855.0
59,30.0,42.0,14.0,651.0,7.0,855.0
60,29.0,40.0,14.0,651.0,7.0,855.0
61,29.0,39.0,14.0,651.0,7.0,855.0
62,30.0,40.0,14.0,651.0,7.0,854.0
63,29.0,40.0,14.0,651.0,7.0,854.0
64,29.0,40.0,14.0,650.0,7.0,854.0
65,29.0,41.0,13.0,651.0,7.0,855.0
66,30.0,39.0,13.0,650.0,6.0,854.0
67,30.0,40.0,14.0,650.0,7.0,855.0
68,29.0,40.0,14.0,651.0,8.0,853.0
69,29.0,40.0,13.0,650.0,7.0,854.0
70,30.0,40.0,14.0,651.0,7.0,855.0
71,29.0,41.0,14.0,651.0,7.0,854.0
72,29.0,41.0,14.0,650.0,7.0,855.0
