,Value1,Value2,Value3,Value4,Value5,Value6
0,29.0,45.0,13.0,565.0,18.0,861.0
1,29.0,44.0,12.0,566.0,19.0,860.0
2,30.0,45.0,13.0,566.0,17.0,861.0
3,29.0,44.0,13.0,566.0,18.0,861.0
4,28.0,46.0,14.0,565.0,18.0,860.0
5,30.0,45.0,11.0,566.0,19.0,86861.0
6,29.0,45.0,13.0,565.0,18.0,861.0
7,29.0,44.0,12.0,566.0,19.0,860.0
8,30.0,45.0,13.0,566.0,17.0,861.0
9,29.0,44.0,13.0,566.0,18.0,861.0
10,28.0,46.0,14.0,565.0,18.0,860.0
11,30.0,43.0,12.0,566.0,20.0,860.0
12,31.0,44.0,12.0,567.0,18.0,860.0
13,31.0,45.0,12.0,567.0,19.0,862.0
14,29.0,45.0,12.0,566.0,18.0,861.0
15,30.0,44.0,13.0,567.0,17.0,860.0
16,30.0,45.0,12.0,566.0,19.0,862.0
17,30.0,43.0,14.0,567.0,17.0,861.0
18,30.0,45.0,13.0,567.0,19.0,860.0
19,30.0,45.0,14.0,567.0,19.0,860.0
20,30.0,44.0,12.0,567.0,17.0,861.0
21,30.0,45.0,12.0,567.0,19.0,861.0
22,30.0,44.0,12.0,567.0,19.0,860.0
23,30.0,45.0,12.0,566.0,18.0,862.0
24,30.0,44.0,12.0,567.0,19.0,862.0
25,30.0,44.0,13.0,567.0,17.0,860.0
26,31.0,45.0,14.0,566.0,18.0,860.0
27,29.0,45.0,12.0,566.0,18.0,861.0
28,29.0,45.0,13.0,567.0,18.0,860.0
29,28.0,45.0,12.0,567.0,18.0,861.0
30,29.0,44.0,12.0,567.0,18.0,862.0
31,29.0,44.0,12.0,567.0,18.0,861.0
32,30.0,45.0,12.0,566.0,18.0,861.0
33,29.0,45.0,13.0,566.0,20.0,861.0
34,30.0,44.0,13.0,566.0,17.0,862.0
35,30.0,45.0,13.0,566.0,19.0,860.0
36,30.0,46.0,12.0,566.0,18.0,861.0
37,30.0,46.0,12.0,567.0,18.0,860.0
38,29.0,46.0,13.0,566.0,19.0,863.0
39,30.0,46.0,14.0,567.0,19.0,860.0
40,29.0,45.0,13.0,567.0,20.0,860.0
