,Value1,Value2,Value3,Value4,Value5,Value6
0,26.0,48.0,12.0,556.0,15.0,856.0
1,26.0,47.0,1212.0,556.0,15.0,856.0
2,26.0,47.0,13.0,556.0,15.0,856.0
3,26.0,47.0,12.0,556.0,15.0,856.0
4,26.0,47.0,12.0,556.0,15.0,856.0
5,26.0,47.0,12.0,556.0,15.0,856.0
6,26.0,48.0,12.0,556.0,15.0,856.0
7,26.0,47.0,12.0,556.0,15.0,856.0
8,27.0,47.0,12.0,554.0,15.0,856.0
9,27.0,47.0,12.0,554.0,15.0,857.0
10,27.0,47.0,12.0,553.0,15.0,856.0
11,27.0,47.0,12.0,554.0,15.0,857.0
12,27.0,47.0,12.0,554.0,15.0,856.0
13,26.0,47.0,13.0,553.0,15.0,857.0
14,26.0,47.0,12.0,554.0,15.0,856.0
15,27.0,47.0,12.0,554.0,15.0,857.0
16,27.0,47.0,12.0,553.0,15.0,857.0
17,26.0,47.0,12.0,553.0,15.0,856.0
18,27.0,47.0,12.0,553.0,15.0,857.0
19,27.0,47.0,12.0,554.0,15.0,856.0
20,26.0,48.0,12.0,554.0,15.0,857.0
21,27.0,48.0,13.0,554.0,15.0,857.0
22,26.0,48.0,12.0,554.0,15.0,856.0
23,27.0,47.0,12.0,554.0,15.0,856.0
24,27.0,48.0,12.0,553.0,15.0,857.0
25,26.0,47.0,13.0,554.0,15.0,856.0
26,27.0,47.0,12.0,553.0,15.0,856.0
27,26.0,46.0,12.0,553.0,15.0,856.0
28,27.0,47.0,12.0,553.0,15.0,857.0
29,26.0,47.0,12.0,554.0,15.0,856.0
30,26.0,47.0,12.0,554.0,15.0,857.0
31,26.0,47.0,12.0,554.0,15.0,857.0
32,27.0,46.0,12.0,554.0,15.0,857.0
33,27.0,46.0,12.0,554.0,15.0,856.0
34,26.0,46.0,12.0,554.0,15.0,856.0
35,27.0,47.0,12.0,554.0,15.0,856.0
36,26.0,46.0,12.0,554.0,15.0,856.0
37,27.0,47.0,12.0,554.0,15.0,856.0
38,26.0,47.0,12.0,554.0,15.0,856.0
39,26.0,47.0,12.0,554.0,15.0,856.0
40,26.0,48.0,13.0,554.0,15.0,857.0
41,27.0,48.0,13.0,554.0,15.0,856.0
42,26.0,47.0,13.0,554.0,15.0,857.0
43,26.0,47.0,12.0,554.0,15.0,856.0
44,27.0,47.0,12.0,554.0,15.0,856.0
45,26.0,47.0,12.0,554.0,15.0,856.0
46,26.0,47.0,13.0,554.0,15.0,856.0
47,27.0,47.0,12.0,554.0,15.0,856.0
48,27.0,48.0,13.0,554.0,15.0,857.0
49,26.0,47.0,12.0,554.0,15.0,857.0
50,26.0,48.0,12.0,554.0,15.0,856.0
51,27.0,47.0,12.0,554.0,15.0,856.0
52,27.0,47.0,13.0,554.0,15.0,856.0
53,27.0,47.0,13.0,554.0,15.0,856.0
54,27.0,47.0,12.0,554.0,15.0,857.0
55,26.0,48.0,12.0,555.0,15.0,857.0
56,26.0,46.0,12.0,554.0,15.0,856.0
57,26.0,47.0,12.0,555.0,15.0,856.0
58,27.0,47.0,13.0,554.0,15.0,856.0
59,27.0,47.0,12.0,555.0,15.0,856.0
60,26.0,48.0,12.0,555.0,15.0,856.0
61,27.0,48.0,12.0,555.0,15.0,856.0
62,26.0,47.0,12.0,554.0,15.0,856.0
63,27.0,47.0,12.0,555.0,15.0,857.0
64,26.0,47.0,12.0,555.0,15.0,856.0
65,26.0,47.0,12.0,555.0,15.0,856.0
66,27.0,47.0,12.0,555.0,15.0,857.0
67,26.0,46.0,12.0,554.0,15.0,856.0
68,27.0,47.0,13.0,554.0,15.0,856.0
69,26.0,47.0,12.0,555.0,15.0,857.0
70,27.0,47.0,12.0,554.0,15.0,857.0
71,26.0,47.0,12.0,554.0,15.0,856.0
72,26.0,47.0,12.0,555.0,15.0,857.0
73,27.0,48.0,12.0,555.0,15.0,857.0
74,27.0,47.0,13.0,555.0,15.0,857.0
75,27.0,48.0,13.0,555.0,15.0,856.0
76,27.0,47.0,12.0,555.0,15.0,856.0
77,27.0,47.0,13.0,555.0,15.0,856.0
78,27.0,47.0,12.0,555.0,15.0,856.0
79,26.0,47.0,12.0,555.0,15.0,857.0
80,27.0,47.0,13.0,555.0,15.0,856.0
81,26.0,46.0,12.0,555.0,15.0,856.0
82,27.0,47.0,13.0,555.0,15.0,856.0
83,27.0,47.0,12.0,555.0,15.0,856.0
84,27.0,48.0,13.0,555.0,15.0,857.0
85,26.0,47.0,13.0,555.0,15.0,856.0
86,26.0,47.0,12.0,555.0,15.0,856.0
87,27.0,48.0,12.0,555.0,15.0,856.0
88,27.0,47.0,12.0,555.0,15.0,856.0
89,26.0,47.0,13.0,555.0,15.0,856.0
90,27.0,48.0,12.0,555.0,15.0,856.0
91,27.0,48.0,12.0,555.0,15.0,856.0
92,27.0,47.0,13.0,555.0,15.0,856.0
93,26.0,47.0,12.0,556.0,15.0,856.0
94,27.0,47.0,12.0,555.0,15.0,856.0
95,26.0,47.0,12.0,555.0,15.0,856.0
96,27.0,47.0,12.0,555.0,15.0,856.0
97,27.0,47.0,12.0,556.0,15.0,857.0
98,27.0,47.0,12.0,556.0,15.0,856.0
99,27.0,47.0,12.0,556.0,15.0,857.0
100,26.0,47.0,12.0,555.0,15.0,856.0
101,27.0,47.0,12.0,555.0,15.0,856.0
102,27.0,46.0,13.0,555.0,15.0,856.0
103,26.0,46.0,12.0,556.0,15.0,857.0
104,26.0,46.0,12.0,556.0,15.0,856.0
105,27.0,47.0,12.0,555.0,15.0,856.0
106,27.0,47.0,12.0,555.0,15.0,856.0
107,26.0,47.0,13.0,555.0,15.0,856.0
108,27.0,47.0,12.0,555.0,15.0,856.0
109,27.0,48.0,12.0,555.0,15.0,857.0
110,26.0,47.0,12.0,555.0,15.0,856.0
111,27.0,47.0,13.0,555.0,15.0,856.0
112,27.0,48.0,12.0,555.0,15.0,856.0
113,27.0,47.0,12.0,556.0,15.0,856.0
114,27.0,47.0,12.0,555.0,15.0,856.0
115,26.0,48.0,12.0,555.0,15.0,856.0
116,27.0,47.0,12.0,555.0,15.0,856.0
117,26.0,48.0,12.0,555.0,15.0,857.0
118,26.0,47.0,13.0,555.0,15.0,857.0
119,27.0,47.0,13.0,555.0,15.0,856.0
120,27.0,48.0,13.0,555.0,15.0,856.0
121,26.0,47.0,12.0,555.0,15.0,856.0
122,27.0,47.0,12.0,555.0,15.0,856.0
123,27.0,47.0,12.0,556.0,15.0,856.0
124,26.0,47.0,12.0,555.0,15.0,856.0
125,26.0,47.0,12.0,556.0,15.0,856.0
126,26.0,47.0,12.0,556.0,15.0,856.0
127,27.0,48.0,12.0,555.0,15.0,857.0
128,26.0,47.0,13.0,555.0,15.0,856.0
129,26.0,47.0,13.0,555.0,15.0,857.0
130,27.0,47.0,13.0,555.0,15.0,856.0
131,27.0,47.0,12.0,555.0,15.0,857.0
132,26.0,47.0,13.0,555.0,15.0,856.0
133,27.0,47.0,12.0,555.0,15.0,857.0
134,27.0,48.0,12.0,555.0,15.0,856.0
135,26.0,47.0,13.0,555.0,15.0,856.0
136,26.0,47.0,13.0,555.0,15.0,857.0
137,27.0,48.0,12.0,556.0,15.0,857.0
138,26.0,47.0,12.0,555.0,15.0,857.0
139,26.0,47.0,13.0,555.0,15.0,856.0
140,26.0,47.0,12.0,555.0,15.0,857.0
141,27.0,47.0,12.0,555.0,15.0,857.0
142,26.0,47.0,12.0,555.0,15.0,856.0
143,26.0,47.0,12.0,556.0,15.0,857.0
144,26.0,47.0,13.0,555.0,15.0,857.0
145,27.0,47.0,12.0,555.0,15.0,857.0
146,26.0,46.0,12.0,555.0,15.0,856.0
147,26.0,47.0,12.0,556.0,15.0,856.0
148,26.0,47.0,12.0,555.0,15.0,856.0
149,27.0,47.0,13.0,555.0,15.0,856.0
150,27.0,47.0,13.0,555.0,15.0,857.0
151,26.0,47.0,12.0,555.0,15.0,857.0
152,26.0,47.0,12.0,555.0,15.0,856.0
153,26.0,47.0,13.0,555.0,15.0,857.0
154,26.0,47.0,13.0,555.0,15.0,856.0
155,26.0,47.0,12.0,555.0,15.0,856.0
156,27.0,47.0,12.0,555.0,16.0,856.0
157,27.0,47.0,12.0,555.0,15.0,856.0
158,27.0,46.0,13.0,555.0,15.0,856.0
159,27.0,47.0,12.0,555.0,15.0,856.0
160,27.0,47.0,12.0,555.0,15.0,856.0
161,26.0,47.0,13.0,555.0,15.0,856.0
162,26.0,47.0,12.0,555.0,15.0,857.0
163,27.0,46.0,12.0,555.0,15.0,856.0
164,26.0,47.0,12.0,555.0,15.0,856.0
165,27.0,47.0,12.0,555.0,15.0,856.0
166,27.0,47.0,12.0,555.0,15.0,856.0
167,27.0,47.0,13.0,556.0,15.0,857.0
168,26.0,47.0,12.0,555.0,15.0,856.0
169,26.0,47.0,12.0,555.0,15.0,856.0
170,26.0,47.0,13.0,555.0,15.0,856.0
171,26.0,47.0,12.0,555.0,15.0,856.0
172,27.0,47.0,12.0,555.0,15.0,856.0
173,27.0,46.0,12.0,555.0,15.0,857.0
174,26.0,46.0,12.0,555.0,15.0,857.0
175,27.0,47.0,12.0,555.0,15.0,857.0
176,27.0,47.0,12.0,555.0,15.0,856.0
177,26.0,47.0,12.0,555.0,15.0,856.0
178,27.0,48.0,13.0,555.0,15.0,857.0
179,26.0,47.0,12.0,555.0,15.0,856.0
180,27.0,47.0,12.0,555.0,15.0,856.0
181,27.0,48.0,12.0,555.0,15.0,856.0
182,27.0,47.0,12.0,555.0,15.0,856.0
183,26.0,48.0,13.0,555.0,15.0,856.0
184,27.0,48.0,12.0,555.0,15.0,857.0
185,26.0,48.0,12.0,555.0,15.0,857.0
186,26.0,48.0,12.0,555.0,15.0,856.0
187,27.0,48.0,13.0,555.0,15.0,856.0
188,27.0,48.0,12.0,555.0,15.0,856.0
189,27.0,48.0,12.0,555.0,15.0,856.0
