,Value1,Value2,Value3,Value4,Value5,Value6
0,70.0,67.0,16.0,630.0,65.0,865.0
1,69.0,68.0,16.0,631.0,63.0,864.0
2,70.0,67.0,17.0,631.0,64.0,864.0
3,70.0,69.0,16.0,631.0,64.0,863.0
4,69.0,68.0,17.0,632.0,64.0,864.0
5,70.0,68.0,16.0,632.0,64.0,864.0
6,70.0,68.0,17.0,630.0,64.0,866.0
7,69.0,68.0,16.0,631.0,65.0,864.0
8,69.0,69.0,16.0,630.0,65.0,863.0
9,69.0,68.0,16.0,631.0,64.0,865.0
10,70.0,68.0,16.0,631.0,63.0,864.0
11,70.0,68.0,15.0,631.0,64.0,864.0
12,69.0,68.0,16.0,631.0,64.0,864.0
13,69.0,67.0,16.0,631.0,65.0,865.0
14,69.0,68.0,16.0,631.0,64.0,866.0
15,69.0,67.0,16.0,632.0,64.0,864.0
16,69.0,68.0,16.0,631.0,64.0,864.0
17,70.0,68.0,16.0,631.0,64.0,864.0
18,68.0,69.0,16.0,632.0,64.0,864.0
19,69.0,67.0,17.0,631.0,64.0,864.0
20,69.0,69.0,16.0,631.0,64.0,865.0
21,69.0,69.0,16.0,631.0,63.0,864.0
22,70.0,68.0,15.0,631.0,64.0,865.0
23,68.0,67.0,15.0,631.0,64.0,863.0
24,69.0,69.0,17.0,631.0,64.0,864.0
25,69.0,67.0,15.0,632.0,63.0,865.0
26,70.0,68.0,16.0,631.0,64.0,866.0
27,69.0,69.0,17.0,631.0,65.0,865.0
28,69.0,69.0,16.0,631.0,64.0,864.0
29,69.0,67.0,15.0,631.0,64.0,864.0
30,69.0,67.0,15.0,631.0,64.0,864.0
31,69.0,67.0,16.0,631.0,65.0,864.0
32,70.0,67.0,16.0,631.0,64.0,864.0
33,70.0,67.0,15.0,631.0,64.0,866.0
34,70.0,67.0,16.0,632.0,64.0,866.0
35,69.0,68.0,16.0,631.0,64.0,866.0
36,70.0,68.0,16.0,631.0,65.0,864.0
37,69.0,68.0,16.0,632.0,64.0,863.0
38,69.0,68.0,17.0,631.0,63.0,864.0
39,70.0,68.0,16.0,631.0,64.0,864.0
40,68.0,68.0,15.0,632.0,64.0,866.0
41,69.0,67.0,15.0,632.0,64.0,864.0
42,69.0,68.0,16.0,632.0,64.0,865.0
43,69.0,68.0,16.0,631.0,65.0,863.0
44,69.0,67.0,15.0,631.0,65.0,865.0
45,69.0,67.0,15.0,632.0,63.0,864.0
46,70.0,68.0,16.0,632.0,64.0,864.0
47,69.0,68.0,15.0,631.0,64.0,864.0
48,70.0,68.0,15.0,630.0,65.0,864.0
49,69.0,67.0,16.0,631.0,64.0,864.0
50,69.0,68.0,16.0,631.0,65.0,864.0
51,68.0,69.0,15.0,631.0,63.0,864.0
52,69.0,67.0,15.0,632.0,64.0,864.0
53,69.0,67.0,15.0,632.0,64.0,865.0
54,69.0,68.0,15.0,631.0,64.0,865.0
55,70.0,68.0,15.0,632.0,65.0,865.0
56,69.0,68.0,16.0,631.0,64.0,865.0
57,70.0,67.0,16.0,631.0,65.0,865.0
58,70.0,69.0,17.0,631.0,63.0,864.0
59,70.0,67.0,16.0,632.0,65.0,866.0
60,69.0,68.0,16.0,631.0,63.0,865.0
61,69.0,68.0,16.0,631.0,64.0,865.0
62,68.0,67.0,16.0,631.0,64.0,864.0
63,70.0,68.0,16.0,632.0,64.0,866.0
64,69.0,68.0,16.0,631.0,64.0,865.0
65,69.0,69.0,16.0,631.0,65.0,864.0
66,69.0,68.0,15.0,632.0,64.0,864.0
67,68.0,68.0,16.0,632.0,65.0,865.0
68,70.0,68.0,16.0,632.0,64.0,865.0
69,69.0,68.0,15.0,631.0,64.0,865.0
70,70.0,67.0,16.0,631.0,64.0,866.0
71,69.0,68.0,16.0,631.0,63.0,864.0
72,69.0,68.0,15.0,631.0,64.0,863.0
73,69.0,68.0,15.0,631.0,63.0,864.0
74,69.0,68.0,16.0,631.0,64.0,865.0
75,69.0,69.0,16.0,631.0,63.0,864.0
76,69.0,69.0,16.0,632.0,64.0,863.0
77,71.0,67.0,16.0,631.0,65.0,865.0
78,70.0,67.0,16.0,632.0,64.0,864.0
79,70.0,67.0,17.0,632.0,64.0,864.0
80,69.0,69.0,16.0,631.0,64.0,865.0
81,69.0,67.0,16.0,632.0,64.0,864.0
82,69.0,68.0,17.0,631.0,63.0,864.0
83,69.0,67.0,15.0,632.0,63.0,864.0
84,69.0,68.0,16.0,631.0,64.0,864.0
85,69.0,67.0,16.0,632.0,64.0,864.0
86,70.0,69.0,15.0,631.0,64.0,865.0
87,69.0,68.0,16.0,631.0,65.0,864.0
88,69.0,68.0,15.0,632.0,63.0,864.0
89,71.0,69.0,16.0,631.0,64.0,865.0
90,70.0,68.0,15.0,631.0,64.0,864.0
91,70.0,69.0,16.0,631.0,65.0,864.0
92,69.0,69.0,16.0,632.0,65.0,865.0
93,69.0,69.0,16.0,631.0,65.0,865.0
94,69.0,69.0,15.0,631.0,64.0,864.0
95,69.0,67.0,16.0,631.0,65.0,864.0
96,69.0,68.0,16.0,631.0,64.0,865.0
97,69.0,68.0,16.0,632.0,64.0,863.0
98,70.0,69.0,16.0,631.0,65.0,865.0
99,69.0,68.0,17.0,631.0,65.0,865.0
100,69.0,68.0,16.0,631.0,65.0,865.0
101,70.0,67.0,16.0,632.0,64.0,865.0
102,69.0,69.0,15.0,632.0,64.0,863.0
103,69.0,67.0,17.0,632.0,64.0,867.0
104,70.0,67.0,16.0,632.0,64.0,866.0
105,70.0,68.0,15.0,632.0,64.0,865.0
106,70.0,67.0,16.0,632.0,64.0,866.0
107,70.0,67.0,16.0,631.0,64.0,865.0
108,70.0,67.0,16.0,632.0,64.0,865.0
109,69.0,67.0,16.0,632.0,64.0,863.0
110,69.0,68.0,16.0,632.0,63.0,866.0
111,69.0,68.0,15.0,631.0,64.0,864.0
112,70.0,69.0,16.0,631.0,64.0,863.0
113,70.0,68.0,15.0,632.0,65.0,864.0
114,69.0,69.0,17.0,632.0,64.0,866.0
115,68.0,69.0,16.0,631.0,64.0,864.0
116,69.0,68.0,17.0,631.0,64.0,864.0
117,69.0,66.0,16.0,631.0,64.0,864.0
118,69.0,68.0,17.0,632.0,64.0,864.0
119,69.0,67.0,16.0,631.0,64.0,865.0
120,69.0,69.0,16.0,632.0,64.0,864.0
121,69.0,67.0,16.0,632.0,64.0,863.0
122,69.0,69.0,16.0,631.0,65.0,865.0
123,70.0,67.0,16.0,631.0,64.0,865.0
124,68.0,67.0,16.0,632.0,65.0,865.0
125,69.0,69.0,15.0,632.0,65.0,864.0
126,69.0,68.0,16.0,632.0,65.0,866.0
127,68.0,68.0,16.0,631.0,63.0,864.0
128,70.0,68.0,15.0,632.0,65.0,863.0
129,69.0,67.0,16.0,631.0,64.0,866.0
130,70.0,67.0,16.0,632.0,64.0,863.0
131,68.0,68.0,16.0,632.0,64.0,866.0
132,70.0,69.0,16.0,632.0,64.0,864.0
133,70.0,69.0,16.0,632.0,64.0,864.0
134,70.0,66.0,16.0,632.0,64.0,864.0
135,69.0,68.0,16.0,632.0,65.0,865.0
136,69.0,68.0,15.0,632.0,64.0,865.0
137,70.0,68.0,15.0,631.0,65.0,865.0
138,69.0,68.0,16.0,632.0,64.0,867.0
139,69.0,68.0,15.0,632.0,65.0,863.0
140,69.0,69.0,15.0,632.0,64.0,864.0
141,69.0,68.0,16.0,632.0,64.0,864.0
142,70.0,68.0,16.0,632.0,64.0,863.0
143,70.0,67.0,17.0,632.0,64.0,864.0
144,70.0,67.0,17.0,632.0,64.0,865.0
145,70.0,69.0,16.0,632.0,64.0,864.0
146,69.0,68.0,16.0,631.0,63.0,866.0
147,68.0,69.0,16.0,631.0,64.0,866.0
148,69.0,68.0,16.0,632.0,63.0,864.0
149,70.0,68.0,17.0,631.0,65.0,865.0
150,69.0,68.0,16.0,631.0,65.0,865.0
151,70.0,67.0,16.0,632.0,64.0,866.0
152,70.0,68.0,15.0,631.0,65.0,866.0
153,70.0,69.0,16.0,631.0,63.0,864.0
154,70.0,67.0,16.0,632.0,63.0,864.0
155,69.0,68.0,15.0,632.0,65.0,864.0
156,69.0,67.0,16.0,632.0,64.0,863.0
157,69.0,67.0,15.0,632.0,64.0,863.0
158,69.0,68.0,16.0,632.0,63.0,864.0
159,68.0,69.0,16.0,631.0,64.0,864.0
160,70.0,69.0,16.0,632.0,63.0,865.0
161,70.0,68.0,16.0,632.0,65.0,865.0
162,70.0,69.0,16.0,632.0,64.0,864.0
163,69.0,68.0,15.0,631.0,65.0,864.0
164,70.0,69.0,16.0,632.0,64.0,865.0
165,70.0,68.0,17.0,631.0,64.0,864.0
166,70.0,68.0,16.0,632.0,64.0,866.0
167,68.0,67.0,15.0,632.0,65.0,864.0
168,70.0,67.0,16.0,631.0,65.0,864.0
169,70.0,67.0,17.0,632.0,64.0,864.0
170,69.0,67.0,16.0,632.0,64.0,865.0
171,68.0,67.0,16.0,632.0,63.0,864.0
172,70.0,69.0,15.0,633.0,64.0,864.0
173,68.0,67.0,16.0,632.0,64.0,864.0
174,69.0,69.0,16.0,632.0,64.0,865.0
175,69.0,66.0,16.0,632.0,64.0,864.0
176,69.0,68.0,16.0,633.0,65.0,864.0
177,70.0,68.0,17.0,632.0,65.0,864.0
178,69.0,67.0,16.0,631.0,64.0,865.0
179,69.0,69.0,16.0,632.0,65.0,863.0
180,70.0,69.0,17.0,632.0,64.0,866.0
181,69.0,67.0,17.0,632.0,64.0,864.0
182,69.0,67.0,16.0,631.0,64.0,864.0
183,69.0,68.0,16.0,632.0,64.0,864.0
184,70.0,67.0,15.0,632.0,65.0,865.0
185,69.0,68.0,15.0,631.0,64.0,864.0
186,70.0,67.0,16.0,632.0,64.0,864.0
187,70.0,68.0,16.0,632.0,65.0,865.0
188,69.0,67.0,15.0,631.0,64.0,864.0
189,69.0,69.0,16.0,632.0,65.0,863.0
190,70.0,67.0,16.0,631.0,64.0,864.0
191,69.0,68.0,17.0,632.0,64.0,865.0
192,70.0,66.0,16.0,631.0,64.0,864.0
193,69.0,67.0,17.0,632.0,64.0,864.0
194,69.0,67.0,15.0,632.0,64.0,864.0
195,70.0,67.0,16.0,631.0,64.0,865.0
196,69.0,67.0,16.0,632.0,64.0,865.0
197,69.0,69.0,16.0,632.0,65.0,864.0
198,68.0,67.0,17.0,633.0,65.0,864.0
199,69.0,69.0,16.0,632.0,64.0,863.0
200,70.0,67.0,15.0,632.0,63.0,866.0
201,70.0,68.0,17.0,632.0,64.0,864.0
202,70.0,67.0,16.0,632.0,65.0,863.0
203,70.0,68.0,16.0,632.0,64.0,866.0
204,70.0,69.0,16.0,632.0,64.0,866.0
205,69.0,67.0,16.0,632.0,64.0,864.0
206,69.0,68.0,17.0,632.0,64.0,865.0
207,70.0,67.0,15.0,633.0,65.0,864.0
208,70.0,69.0,16.0,632.0,64.0,863.0
209,69.0,67.0,15.0,632.0,65.0,864.0
210,70.0,68.0,16.0,632.0,63.0,864.0
211,70.0,67.0,15.0,633.0,64.0,864.0
212,69.0,69.0,16.0,632.0,65.0,864.0
213,70.0,69.0,16.0,632.0,64.0,866.0
214,69.0,68.0,15.0,632.0,65.0,865.0
215,69.0,69.0,17.0,632.0,65.0,863.0
216,69.0,69.0,16.0,633.0,64.0,863.0
217,69.0,68.0,15.0,631.0,64.0,865.0
218,70.0,67.0,16.0,633.0,64.0,863.0
219,70.0,67.0,16.0,632.0,64.0,866.0
220,69.0,69.0,16.0,632.0,65.0,865.0
221,69.0,68.0,17.0,632.0,64.0,866.0
222,68.0,67.0,16.0,632.0,64.0,864.0
