,Value1,Value2,Value3,Value4,Value5,Value6
0,351.0,78.0,41.0,673.0,39.0,864.0
1,351.0,79.0,42.0,672.0,39.0,863.0
2,366.0,77.0,42.0,673.0,38.0,865.0
3,364.0,78.0,42.0,672.0,39.0,864.0
4,363.0,78.0,42.0,671.0,38.0,866.0
5,359.0,77.0,43.0,673.0,39.0,864.0
6,358.0,78.0,42.0,672.0,38.0,865.0
7,359.0,77.0,43.0,671.0,38.0,864.0
8,356.0,78.0,42.0,672.0,37.0,866.0
9,357.0,79.0,42.0,672.0,38.0,865.0
10,357.0,78.0,41.0,672.0,39.0,866.0
11,356.0,79.0,42.0,672.0,38.0,864.0
12,356.0,77.0,42.0,672.0,38.0,864.0
13,355.0,78.0,42.0,674.0,39.0,864.0
14,357.0,78.0,41.0,673.0,39.0,864.0
15,355.0,78.0,41.0,674.0,37.0,864.0
16,355.0,78.0,43.0,673.0,39.0,864.0
17,356.0,78.0,42.0,673.0,38.0,865.0
18,355.0,78.0,42.0,673.0,38.0,865.0
19,354.0,77.0,42.0,673.0,37.0,866.0
20,355.0,77.0,42.0,673.0,38.0,865.0
21,355.0,77.0,42.0,673.0,38.0,864.0
22,353.0,78.0,43.0,673.0,38.0,864.0
23,353.0,79.0,42.0,672.0,38.0,864.0
24,354.0,77.0,44.0,672.0,37.0,864.0
25,354.0,76.0,41.0,672.0,38.0,864.0
26,355.0,77.0,42.0,673.0,38.0,866.0
27,355.0,77.0,42.0,672.0,39.0,864.0
28,355.0,79.0,41.0,673.0,38.0,864.0
29,354.0,78.0,42.0,673.0,38.0,865.0
30,354.0,78.0,42.0,673.0,38.0,864.0
31,355.0,79.0,43.0,672.0,39.0,864.0
32,353.0,79.0,43.0,672.0,38.0,865.0
33,354.0,77.0,42.0,673.0,38.0,864.0
34,354.0,78.0,42.0,673.0,39.0,864.0
35,354.0,77.0,42.0,672.0,37.0,867.0
36,354.0,79.0,42.0,672.0,38.0,865.0
37,354.0,79.0,41.0,672.0,39.0,864.0
38,354.0,78.0,43.0,672.0,38.0,864.0
39,354.0,79.0,43.0,673.0,38.0,864.0
40,354.0,79.0,42.0,672.0,39.0,865.0
41,354.0,78.0,42.0,673.0,38.0,866.0
42,354.0,78.0,43.0,672.0,39.0,864.0
43,354.0,79.0,41.0,672.0,38.0,865.0
44,353.0,78.0,43.0,672.0,38.0,864.0
45,353.0,78.0,41.0,673.0,38.0,864.0
46,354.0,78.0,41.0,672.0,38.0,865.0
47,354.0,78.0,41.0,673.0,37.0,864.0
48,354.0,78.0,41.0,673.0,39.0,864.0
49,354.0,78.0,42.0,672.0,38.0,864.0
50,354.0,80.0,42.0,672.0,38.0,864.0
51,355.0,79.0,42.0,672.0,38.0,866.0
52,353.0,78.0,41.0,672.0,37.0,864.0
53,354.0,79.0,43.0,671.0,39.0,865.0
54,354.0,77.0,42.0,673.0,39.0,865.0
55,353.0,78.0,42.0,673.0,39.0,864.0
56,354.0,79.0,41.0,672.0,39.0,864.0
57,353.0,78.0,42.0,672.0,39.0,864.0
58,354.0,79.0,40.0,672.0,40.0,864.0
59,355.0,78.0,40.0,672.0,38.0,864.0
60,354.0,80.0,43.0,672.0,39.0,865.0
61,354.0,78.0,42.0,672.0,38.0,864.0
62,354.0,79.0,41.0,672.0,38.0,865.0
63,354.0,77.0,40.0,672.0,39.0,864.0
64,353.0,78.0,42.0,673.0,38.0,864.0
65,354.0,78.0,42.0,672.0,38.0,864.0
66,354.0,78.0,42.0,673.0,38.0,864.0
67,354.0,78.0,41.0,672.0,38.0,864.0
68,354.0,78.0,42.0,672.0,37.0,866.0
69,354.0,77.0,41.0,672.0,39.0,865.0
70,354.0,79.0,42.0,672.0,37.0,865.0
71,353.0,77.0,41.0,672.0,37.0,864.0
72,355.0,77.0,41.0,672.0,39.0,865.0
73,354.0,78.0,41.0,672.0,39.0,865.0
74,353.0,78.0,42.0,673.0,39.0,863.0
75,353.0,78.0,41.0,672.0,37.0,866.0
76,354.0,77.0,41.0,673.0,38.0,864.0
77,353.0,78.0,42.0,672.0,39.0,865.0
78,354.0,78.0,42.0,673.0,39.0,864.0
79,354.0,77.0,41.0,672.0,39.0,866.0
80,354.0,76.0,42.0,672.0,39.0,864.0
81,354.0,78.0,42.0,672.0,39.0,866.0
82,354.0,78.0,41.0,673.0,38.0,864.0
83,355.0,79.0,43.0,673.0,38.0,865.0
84,355.0,78.0,41.0,672.0,38.0,866.0
85,354.0,79.0,42.0,673.0,38.0,864.0
86,355.0,78.0,42.0,673.0,38.0,865.0
87,354.0,80.0,41.0,673.0,39.0,864.0
88,353.0,77.0,42.0,672.0,39.0,864.0
89,355.0,78.0,41.0,672.0,39.0,864.0
90,354.0,78.0,41.0,673.0,39.0,864.0
91,354.0,78.0,42.0,673.0,38.0,864.0
92,354.0,77.0,42.0,673.0,38.0,865.0
93,354.0,78.0,41.0,673.0,38.0,864.0
94,355.0,79.0,42.0,673.0,39.0,864.0
95,355.0,78.0,42.0,672.0,37.0,865.0
96,353.0,77.0,41.0,673.0,39.0,867.0
97,354.0,78.0,41.0,673.0,38.0,864.0
98,354.0,78.0,42.0,672.0,38.0,865.0
99,354.0,80.0,42.0,673.0,39.0,866.0
100,355.0,77.0,43.0,673.0,39.0,865.0
101,353.0,79.0,41.0,673.0,38.0,863.0
102,355.0,79.0,41.0,673.0,38.0,864.0
103,355.0,78.0,42.0,672.0,40.0,865.0
104,355.0,79.0,41.0,673.0,38.0,865.0
105,354.0,79.0,42.0,673.0,39.0,865.0
106,354.0,79.0,41.0,673.0,38.0,864.0
107,354.0,79.0,42.0,673.0,39.0,864.0
108,354.0,77.0,42.0,672.0,38.0,864.0
109,354.0,77.0,42.0,674.0,38.0,865.0
110,354.0,77.0,42.0,673.0,38.0,864.0
111,353.0,77.0,42.0,673.0,39.0,865.0
112,355.0,78.0,41.0,674.0,38.0,864.0
113,355.0,79.0,41.0,673.0,39.0,866.0
114,354.0,79.0,42.0,673.0,38.0,866.0
115,355.0,79.0,41.0,673.0,39.0,864.0
116,355.0,77.0,41.0,672.0,38.0,864.0
117,355.0,77.0,43.0,672.0,38.0,864.0
118,355.0,79.0,41.0,673.0,38.0,864.0
119,356.0,77.0,42.0,673.0,37.0,864.0
120,355.0,78.0,41.0,673.0,38.0,865.0
121,355.0,80.0,42.0,673.0,38.0,864.0
122,356.0,76.0,42.0,672.0,39.0,864.0
123,355.0,77.0,42.0,673.0,39.0,864.0
124,355.0,77.0,42.0,672.0,39.0,864.0
125,356.0,78.0,43.0,671.0,38.0,864.0
126,355.0,80.0,42.0,672.0,38.0,866.0
127,356.0,79.0,42.0,672.0,38.0,864.0
128,355.0,78.0,42.0,673.0,38.0,864.0
129,354.0,77.0,41.0,671.0,37.0,866.0
130,354.0,79.0,41.0,672.0,37.0,864.0
131,354.0,78.0,42.0,673.0,39.0,863.0
132,356.0,78.0,42.0,673.0,39.0,864.0
133,355.0,78.0,41.0,673.0,38.0,864.0
134,356.0,79.0,41.0,673.0,38.0,864.0
135,355.0,79.0,40.0,672.0,38.0,867.0
136,354.0,78.0,43.0,673.0,38.0,865.0
137,355.0,77.0,42.0,672.0,39.0,864.0
138,355.0,79.0,42.0,672.0,40.0,866.0
139,355.0,78.0,42.0,672.0,39.0,864.0
140,356.0,77.0,41.0,672.0,38.0,865.0
141,356.0,77.0,43.0,673.0,38.0,864.0
142,355.0,79.0,41.0,673.0,38.0,863.0
143,355.0,78.0,41.0,673.0,38.0,864.0
144,356.0,77.0,42.0,672.0,38.0,864.0
145,355.0,79.0,41.0,673.0,38.0,865.0
146,355.0,78.0,42.0,673.0,38.0,865.0
147,356.0,78.0,43.0,672.0,38.0,866.0
148,355.0,78.0,42.0,672.0,38.0,866.0
149,355.0,78.0,41.0,672.0,39.0,864.0
150,355.0,78.0,42.0,673.0,38.0,865.0
151,355.0,77.0,42.0,672.0,38.0,864.0
152,356.0,77.0,41.0,672.0,39.0,865.0
153,355.0,77.0,41.0,672.0,38.0,864.0
154,355.0,77.0,41.0,672.0,39.0,864.0
