,Value1,Value2,Value3,Value4,Value5,Value6
0,307.0,63.0,16.0,684.0,17.0,857.0
1,38.0,63.0,16.0,684.0,17.0,857.0
2,38.0,62.0,17.0,684.0,17.0,857.0
3,38.0,63.0,16.0,684.0,17.0,857.0
4,37.0,63.0,16.0,684.0,17.0,858.0
5,37.0,63.0,16.0,684.0,17.0,857.0
6,38.0,63.0,16.0,684.0,17.0,857.0
7,38.0,62.0,17.0,684.0,17.0,857.0
8,38.0,63.0,16.0,684.0,17.0,857.0
9,37.0,63.0,16.0,684.0,17.0,858.0
10,38.0,63.0,17.0,68.0,17.0,858.0
11,40.0,64.0,16.0,684.0,17.0,857.0
12,40.0,64.0,16.0,685.0,17.0,857.0
13,40.0,64.0,16.0,684.0,17.0,857.0
14,41.0,64.0,16.0,684.0,17.0,857.0
15,40.0,64.0,16.0,685.0,17.0,857.0
16,40.0,64.0,16.0,684.0,17.0,858.0
17,40.0,64.0,16.0,684.0,16.0,857.0
18,40.0,63.0,17.0,684.0,17.0,857.0
19,39.0,64.0,16.0,684.0,17.0,856.0
20,40.0,64.0,17.0,684.0,17.0,857.0
21,40.0,64.0,17.0,684.0,17.0,858.0
22,40.0,64.0,17.0,684.0,17.0,858.0
23,39.0,63.0,16.0,684.0,17.0,858.0
24,40.0,64.0,17.0,684.0,17.0,858.0
25,39.0,64.0,16.0,684.0,17.0,858.0
26,40.0,64.0,17.0,684.0,17.0,858.0
27,40.0,63.0,16.0,684.0,17.0,858.0
28,40.0,64.0,16.0,684.0,16.0,857.0
29,39.0,64.0,16.0,685.0,17.0,858.0
30,39.0,64.0,17.0,684.0,17.0,858.0
31,39.0,64.0,17.0,683.0,17.0,858.0
32,39.0,64.0,16.0,684.0,16.0,857.0
33,40.0,64.0,17.0,684.0,16.0,858.0
34,39.0,65.0,16.0,684.0,17.0,858.0
35,40.0,64.0,17.0,684.0,17.0,858.0
36,40.0,64.0,17.0,684.0,17.0,858.0
37,39.0,63.0,17.0,684.0,16.0,858.0
38,40.0,63.0,16.0,684.0,17.0,858.0
39,40.0,64.0,17.0,683.0,17.0,858.0
40,40.0,64.0,17.0,683.0,17.0,858.0
41,40.0,63.0,16.0,684.0,17.0,857.0
42,40.0,64.0,16.0,684.0,16.0,858.0
43,39.0,64.0,16.0,684.0,17.0,858.0
44,39.0,64.0,16.0,684.0,16.0,858.0
45,40.0,63.0,17.0,684.0,16.0,858.0
46,40.0,63.0,17.0,684.0,17.0,858.0
47,40.0,64.0,17.0,684.0,17.0,858.0
48,39.0,64.0,16.0,684.0,17.0,858.0
49,39.0,64.0,16.0,685.0,17.0,858.0
50,40.0,64.0,16.0,684.0,17.0,858.0
51,40.0,65.0,17.0,684.0,17.0,858.0
52,40.0,64.0,16.0,684.0,17.0,858.0
53,39.0,64.0,17.0,684.0,17.0,858.0
54,40.0,64.0,16.0,684.0,16.0,858.0
55,39.0,64.0,16.0,684.0,17.0,857.0
56,39.0,63.0,16.0,684.0,17.0,858.0
57,40.0,64.0,16.0,684.0,17.0,858.0
58,40.0,64.0,17.0,684.0,17.0,858.0
59,40.0,64.0,16.0,685.0,17.0,858.0
60,39.0,63.0,17.0,684.0,17.0,858.0
61,39.0,64.0,16.0,684.0,17.0,858.0
62,40.0,64.0,16.0,684.0,17.0,858.0
63,40.0,63.0,16.0,684.0,17.0,857.0
64,39.0,63.0,17.0,684.0,17.0,858.0
65,40.0,64.0,16.0,684.0,17.0,858.0
66,40.0,64.0,17.0,684.0,17.0,858.0
67,40.0,64.0,16.0,684.0,17.0,858.0
68,40.0,64.0,16.0,684.0,17.0,858.0
69,40.0,63.0,17.0,684.0,17.0,858.0
70,40.0,63.0,16.0,684.0,16.0,857.0
71,39.0,63.0,17.0,684.0,17.0,857.0
72,40.0,63.0,17.0,683.0,17.0,858.0
73,40.0,64.0,17.0,684.0,17.0,858.0
74,39.0,63.0,17.0,685.0,16.0,857.0
75,40.0,63.0,17.0,684.0,16.0,858.0
76,39.0,64.0,17.0,684.0,17.0,858.0
77,40.0,63.0,16.0,684.0,17.0,858.0
78,40.0,63.0,17.0,684.0,16.0,858.0
79,40.0,63.0,17.0,683.0,16.0,858.0
80,40.0,63.0,16.0,684.0,17.0,858.0
81,40.0,63.0,16.0,684.0,17.0,858.0
82,40.0,64.0,16.0,684.0,17.0,857.0
83,40.0,63.0,16.0,685.0,17.0,858.0
84,40.0,63.0,17.0,684.0,17.0,858.0
85,40.0,63.0,17.0,684.0,17.0,857.0
86,40.0,63.0,16.0,684.0,16.0,858.0
87,40.0,63.0,17.0,684.0,17.0,858.0
88,40.0,63.0,16.0,684.0,17.0,857.0
89,40.0,63.0,17.0,684.0,16.0,858.0
90,40.0,63.0,17.0,684.0,16.0,857.0
