,Value1,Value2,Value3,Value4,Value5,Value6
0,129.0,59.0,35.0,682.0,46.0,851.0
1,129.0,59.0,33.0,681.0,46.0,851.0
2,129.0,58.0,34.0,682.0,46.0,851.0
3,129.0,59.0,34.0,681.0,46.0,851.0
4,129.0,58.0,34.0,681.0,46.0,851.0
5,129.0,59.0,35.0,682.0,46.0,851.0
6,129.0,59.0,33.0,681.0,46.0,851.0
7,129.0,59.0,34.0,682.0,46.0,851.0
8,132.0,60.0,34.0,682.0,46.0,851.0
9,131.0,59.0,36.0,681.0,46.0,851.0
10,130.0,61.0,34.0,681.0,46.0,852.0
11,131.0,60.0,34.0,681.0,46.0,851.0
12,130.0,60.0,34.0,681.0,45.0,852.0
13,130.0,60.0,34.0,682.0,46.0,852.0
14,130.0,59.0,34.0,681.0,45.0,851.0
15,130.0,59.0,35.0,682.0,46.0,851.0
16,130.0,60.0,34.0,682.0,46.0,852.0
17,130.0,60.0,34.0,682.0,46.0,852.0
18,131.0,60.0,35.0,681.0,46.0,851.0
19,130.0,61.0,34.0,683.0,46.0,852.0
20,131.0,60.0,35.0,682.0,46.0,851.0
21,130.0,60.0,34.0,682.0,46.0,852.0
22,131.0,60.0,33.0,681.0,46.0,852.0
23,130.0,61.0,35.0,681.0,46.0,852.0
24,130.0,60.0,35.0,682.0,46.0,852.0
25,130.0,59.0,35.0,682.0,45.0,851.0
26,130.0,60.0,34.0,682.0,46.0,851.0
27,130.0,60.0,34.0,682.0,46.0,852.0
28,129.0,60.0,34.0,682.0,46.0,852.0
29,129.0,60.0,34.0,681.0,45.0,852.0
30,129.0,60.0,35.0,682.0,45.0,851.0
31,130.0,59.0,35.0,682.0,46.0,852.0
32,130.0,61.0,35.0,682.0,46.0,851.0
33,130.0,60.0,34.0,681.0,46.0,851.0
34,129.0,59.0,35.0,682.0,46.0,851.0
35,129.0,59.0,35.0,682.0,46.0,852.0
36,130.0,60.0,35.0,682.0,46.0,851.0
37,130.0,59.0,35.0,682.0,46.0,851.0
38,129.0,60.0,34.0,681.0,46.0,852.0
39,129.0,59.0,34.0,681.0,47.0,852.0
40,130.0,59.0,34.0,681.0,46.0,851.0
41,129.0,60.0,35.0,682.0,46.0,852.0
42,129.0,59.0,35.0,681.0,47.0,851.0
43,130.0,60.0,34.0,682.0,46.0,851.0
44,130.0,59.0,33.0,682.0,46.0,852.0
45,130.0,60.0,34.0,681.0,46.0,852.0
46,130.0,61.0,34.0,682.0,46.0,851.0
47,130.0,59.0,34.0,682.0,46.0,851.0
48,129.0,60.0,34.0,682.0,46.0,852.0
49,130.0,60.0,34.0,681.0,46.0,852.0
50,129.0,59.0,34.0,681.0,46.0,852.0
51,131.0,59.0,34.0,682.0,46.0,852.0
52,130.0,60.0,34.0,681.0,46.0,852.0
53,130.0,60.0,34.0,682.0,46.0,851.0
54,130.0,60.0,35.0,682.0,46.0,851.0
55,130.0,60.0,34.0,681.0,46.0,852.0
