,Value1,Value2,Value3,Value4,Value5,Value6
0,89.0,4950.0,21.0,555.0,58.0,734.0
1,89.0,50.0,21.0,556.0,58.0,734.0
2,89.0,48.0,21.0,556.0,58.0,734.0
3,89.0,48.0,21.0,555.0,58.0,734.0
4,88.0,50.0,21.0,555.0,58.0,733.0
5,88.0,48.0,21.0,556.0,58.0,733.0
6,88.0,49.0,21.0,555.0,58.0,733.0
7,88.0,48.0,20.0,555.0,58.0,735.0
8,89.0,49.0,20.0,556.0,58.0,733.0
9,88.0,48.0,21.0,556.0,58.0,733.0
10,88.0,48.0,21.0,556.0,59.0,736.0
11,87.0,49.0,21.0,556.0,58.0,735.0
12,88.0,48.0,21.0,556.0,58.0,735.0
13,89.0,48.0,21.0,556.0,59.0,734.0
14,88.0,49.0,21.0,555.0,57.0,735.0
15,88.0,48.0,21.0,557.0,59.0,735.0
16,89.0,48.0,21.0,555.0,58.0,734.0
17,88.0,50.0,21.0,556.0,59.0,736.0
18,88.0,48.0,21.0,556.0,58.0,735.0
19,89.0,50.0,21.0,556.0,59.0,734.0
20,89.0,49.0,21.0,557.0,57.0,734.0
21,88.0,48.0,20.0,555.0,58.0,735.0
22,88.0,49.0,21.0,555.0,58.0,734.0
23,89.0,48.0,22.0,556.0,58.0,734.0
24,88.0,48.0,20.0,556.0,58.0,733.0
25,88.0,48.0,21.0,556.0,58.0,734.0
26,89.0,48.0,21.0,555.0,58.0,735.0
27,89.0,49.0,20.0,556.0,58.0,734.0
28,88.0,49.0,21.0,556.0,58.0,735.0
29,89.0,49.0,21.0,557.0,59.0,735.0
30,88.0,49.0,21.0,556.0,57.0,734.0
31,88.0,49.0,21.0,555.0,59.0,733.0
32,88.0,49.0,21.0,555.0,58.0,735.0
33,88.0,49.0,21.0,556.0,59.0,733.0
34,88.0,49.0,21.0,556.0,58.0,735.0
35,87.0,48.0,21.0,555.0,58.0,734.0
36,88.0,49.0,21.0,556.0,57.0,735.0
37,88.0,48.0,21.0,556.0,58.0,735.0
38,88.0,49.0,21.0,555.0,58.0,735.0
39,88.0,49.0,21.0,556.0,58.0,735.0
40,88.0,49.0,22.0,555.0,58.0,735.0
41,88.0,48.0,21.0,555.0,58.0,735.0
42,87.0,49.0,22.0,555.0,59.0,736.0
43,89.0,48.0,22.0,556.0,58.0,736.0
44,88.0,49.0,20.0,556.0,59.0,736.0
45,87.0,48.0,21.0,555.0,58.0,735.0
46,88.0,48.0,22.0,556.0,58.0,735.0
47,88.0,48.0,21.0,556.0,59.0,735.0
48,88.0,49.0,22.0,556.0,58.0,735.0
49,89.0,49.0,21.0,556.0,59.0,735.0
50,88.0,48.0,21.0,556.0,59.0,735.0
51,88.0,48.0,21.0,555.0,58.0,735.0
52,88.0,48.0,21.0,556.0,58.0,735.0
53,89.0,48.0,21.0,556.0,58.0,734.0
54,88.0,48.0,22.0,555.0,57.0,735.0
55,87.0,49.0,22.0,555.0,59.0,735.0
56,88.0,48.0,21.0,555.0,58.0,736.0
57,87.0,50.0,21.0,556.0,58.0,735.0
58,87.0,49.0,22.0,556.0,58.0,735.0
59,88.0,49.0,21.0,557.0,59.0,735.0
60,89.0,50.0,22.0,556.0,58.0,735.0
61,88.0,49.0,21.0,556.0,58.0,734.0
62,88.0,49.0,21.0,556.0,58.0,735.0
63,89.0,48.0,22.0,556.0,58.0,735.0
64,88.0,50.0,21.0,556.0,58.0,735.0
65,88.0,49.0,21.0,556.0,57.0,735.0
66,88.0,48.0,22.0,555.0,58.0,736.0
67,88.0,48.0,21.0,556.0,58.0,736.0
68,88.0,49.0,21.0,556.0,58.0,735.0
69,87.0,49.0,21.0,555.0,59.0,735.0
70,88.0,48.0,21.0,556.0,59.0,735.0
71,88.0,48.0,21.0,556.0,58.0,735.0
72,88.0,48.0,21.0,555.0,59.0,734.0
73,88.0,48.0,22.0,555.0,58.0,735.0
74,88.0,49.0,20.0,556.0,59.0,735.0
75,88.0,48.0,21.0,556.0,57.0,735.0
76,88.0,48.0,21.0,556.0,58.0,735.0
77,88.0,49.0,20.0,556.0,58.0,735.0
78,88.0,49.0,21.0,556.0,58.0,735.0
79,88.0,49.0,21.0,556.0,58.0,735.0
80,88.0,49.0,21.0,556.0,58.0,736.0
81,89.0,48.0,21.0,557.0,59.0,736.0
82,88.0,47.0,22.0,556.0,59.0,735.0
83,88.0,48.0,21.0,556.0,57.0,735.0
84,89.0,49.0,22.0,555.0,58.0,734.0
85,87.0,48.0,21.0,555.0,58.0,735.0
86,88.0,49.0,20.0,556.0,58.0,735.0
87,88.0,49.0,21.0,556.0,58.0,735.0
88,88.0,49.0,22.0,555.0,58.0,735.0
89,88.0,48.0,22.0,555.0,58.0,735.0
90,88.0,49.0,21.0,556.0,58.0,735.0
91,87.0,49.0,21.0,556.0,58.0,735.0
92,88.0,48.0,22.0,556.0,59.0,734.0
93,88.0,47.0,20.0,556.0,58.0,736.0
94,88.0,48.0,21.0,555.0,58.0,735.0
95,88.0,50.0,22.0,555.0,59.0,735.0
96,88.0,49.0,22.0,556.0,57.0,734.0
97,88.0,50.0,21.0,556.0,58.0,734.0
98,88.0,50.0,22.0,556.0,58.0,735.0
99,88.0,49.0,21.0,556.0,58.0,736.0
100,88.0,48.0,22.0,555.0,59.0,735.0
101,88.0,49.0,21.0,556.0,58.0,735.0
102,88.0,50.0,21.0,555.0,58.0,735.0
103,89.0,49.0,20.0,556.0,59.0,735.0
104,88.0,48.0,21.0,556.0,58.0,735.0
105,88.0,47.0,21.0,556.0,59.0,735.0
106,89.0,49.0,22.0,554.0,57.0,735.0
107,88.0,48.0,22.0,556.0,58.0,735.0
108,88.0,48.0,20.0,555.0,59.0,735.0
109,88.0,48.0,20.0,556.0,58.0,735.0
110,88.0,48.0,21.0,557.0,58.0,735.0
111,88.0,48.0,21.0,555.0,58.0,734.0
112,88.0,49.0,21.0,556.0,58.0,735.0
113,88.0,49.0,21.0,556.0,58.0,735.0
114,88.0,50.0,22.0,556.0,59.0,735.0
115,88.0,48.0,22.0,556.0,58.0,735.0
116,88.0,48.0,21.0,556.0,58.0,735.0
117,88.0,49.0,20.0,556.0,58.0,735.0
118,88.0,49.0,22.0,556.0,58.0,736.0
119,89.0,50.0,22.0,556.0,58.0,735.0
120,88.0,49.0,20.0,555.0,57.0,735.0
121,88.0,50.0,21.0,556.0,58.0,734.0
122,88.0,48.0,20.0,556.0,58.0,735.0
123,88.0,49.0,20.0,556.0,58.0,734.0
124,88.0,49.0,22.0,556.0,59.0,735.0
125,88.0,50.0,21.0,556.0,59.0,735.0
126,88.0,49.0,21.0,555.0,58.0,736.0
127,88.0,48.0,21.0,556.0,58.0,735.0
128,88.0,49.0,21.0,556.0,57.0,735.0
129,89.0,47.0,21.0,555.0,58.0,735.0
130,88.0,49.0,20.0,556.0,59.0,736.0
131,88.0,48.0,20.0,556.0,57.0,736.0
132,88.0,49.0,22.0,556.0,57.0,735.0
133,88.0,49.0,21.0,555.0,58.0,734.0
134,89.0,48.0,21.0,555.0,58.0,734.0
135,89.0,48.0,20.0,556.0,58.0,735.0
136,88.0,48.0,20.0,556.0,58.0,735.0
137,88.0,48.0,21.0,556.0,59.0,735.0
138,88.0,48.0,20.0,556.0,58.0,734.0
139,88.0,47.0,21.0,555.0,58.0,734.0
140,89.0,48.0,21.0,555.0,58.0,735.0
141,88.0,48.0,22.0,555.0,58.0,735.0
142,87.0,48.0,21.0,556.0,58.0,735.0
143,88.0,48.0,21.0,556.0,59.0,735.0
144,88.0,49.0,21.0,556.0,58.0,735.0
145,88.0,47.0,21.0,555.0,57.0,735.0
146,89.0,50.0,22.0,556.0,58.0,734.0
147,88.0,49.0,21.0,555.0,58.0,734.0
148,88.0,50.0,20.0,556.0,59.0,735.0
149,88.0,49.0,21.0,556.0,57.0,735.0
150,89.0,47.0,22.0,555.0,59.0,735.0
151,88.0,49.0,20.0,556.0,59.0,735.0
152,88.0,47.0,21.0,556.0,59.0,736.0
153,88.0,47.0,21.0,555.0,58.0,735.0
154,88.0,47.0,21.0,556.0,58.0,735.0
155,88.0,48.0,21.0,555.0,58.0,735.0
156,88.0,48.0,21.0,556.0,58.0,735.0
157,88.0,48.0,21.0,555.0,58.0,735.0
158,88.0,49.0,21.0,556.0,58.0,735.0
159,88.0,49.0,21.0,556.0,58.0,735.0
160,88.0,50.0,21.0,555.0,59.0,734.0
161,88.0,49.0,21.0,556.0,58.0,735.0
162,88.0,49.0,21.0,556.0,58.0,735.0
163,89.0,49.0,21.0,555.0,58.0,735.0
164,89.0,47.0,20.0,556.0,58.0,734.0
165,89.0,48.0,21.0,556.0,57.0,735.0
166,87.0,48.0,22.0,555.0,57.0,735.0
167,88.0,48.0,22.0,556.0,58.0,734.0
168,89.0,47.0,22.0,556.0,58.0,734.0
169,89.0,48.0,22.0,556.0,58.0,735.0
170,88.0,49.0,21.0,555.0,58.0,734.0
171,88.0,48.0,21.0,556.0,57.0,735.0
172,89.0,48.0,22.0,555.0,59.0,735.0
173,88.0,49.0,21.0,556.0,58.0,735.0
174,88.0,50.0,21.0,556.0,59.0,735.0
175,88.0,48.0,21.0,556.0,57.0,735.0
176,88.0,48.0,21.0,555.0,59.0,735.0
177,88.0,49.0,21.0,556.0,58.0,735.0
178,88.0,48.0,21.0,556.0,58.0,735.0
179,88.0,49.0,21.0,555.0,58.0,735.0
180,88.0,49.0,21.0,556.0,59.0,736.0
181,88.0,48.0,21.0,556.0,58.0,735.0
182,88.0,49.0,22.0,555.0,58.0,735.0
183,88.0,48.0,22.0,556.0,59.0,735.0
184,89.0,48.0,22.0,557.0,58.0,734.0
185,88.0,48.0,22.0,556.0,59.0,734.0
186,88.0,48.0,21.0,556.0,58.0,735.0
187,88.0,49.0,21.0,556.0,59.0,735.0
188,88.0,49.0,21.0,556.0,58.0,735.0
189,88.0,49.0,22.0,556.0,59.0,735.0
190,88.0,49.0,22.0,556.0,59.0,735.0
191,89.0,49.0,20.0,556.0,59.0,735.0
192,88.0,50.0,22.0,557.0,57.0,735.0
193,88.0,48.0,20.0,555.0,58.0,735.0
194,89.0,49.0,22.0,556.0,58.0,734.0
195,88.0,49.0,22.0,556.0,57.0,735.0
196,88.0,47.0,21.0,556.0,58.0,735.0
197,88.0,49.0,22.0,556.0,59.0,735.0
198,88.0,49.0,22.0,556.0,59.0,734.0
199,88.0,50.0,22.0,556.0,58.0,735.0
