Location,Density,N_Actual,P_Actual,K_Actual,N_Predicted,P_Predicted,K_Predicted
Itala_afterChange,100,2.3688,0.137928,9.927288,2.3511417,0.09730009,10.463632
Itala_afterChange,120,1.974,0.11494,8.27274,1.8912528,0.08708952,9.405942
Itala_afterChange,140,1.692,0.09852,7.09092,1.862446,0.10135451,9.603998
Itala_afterChange,160,1.4805,0.086205,6.204555,1.566858,0.076148406,4.349941
Itala_afterChange,180,1.316,0.0766266,5.51516,1.1923047,0.05237077,4.2565155
Itala_afterChange,200,1.1844,0.068964,4.963644,1.4933623,0.09100742,5.38392
Itala_afterChange,220,1.07672,0.062695,4.5124,1.2188286,0.030740872,4.8404994
Itala_afterChange,240,0.987,0.05747,4.13637,1.3519815,0.052655175,5.140523
Itala_afterChange,60,3.948,0.22988,16.54548,3.5967703,0.20697114,15.175307
Itala_afterChange,80,2.961,0.17241,12.40911,3.0605774,0.17338929,14.73571
