Location,Density,N_Actual,P_Actual,K_Actual,N_Predicted,P_Predicted,K_Predicted
jintur 1,100,2.522016,0.106512,12.420408,2.821712,0.116274685,12.902044
jintur 1,120,2.10168,0.08876,10.35034,2.6597116,0.10937181,13.975324
jintur 1,140,1.80144,0.07608,8.87172,2.3190653,0.17258158,6.3875427
jintur 1,160,1.57626,0.06657,7.762755,1.725675,0.075065084,6.863928
jintur 1,180,1.40112,0.059173,6.9,1.3515623,0.0,7.1443048
jintur 1,200,1.261008,0.053256,6.210204,1.3536874,0.0,6.298663
jintur 1,220,1.1463709,0.0484145,5.64564,1.1728313,0.0,5.543755
jintur 1,240,1.05084,0.04438,5.17517,1.0170748,0.0,5.6696067
jintur 1,60,4.20336,0.17752,20.70068,4.1032395,0.22423886,12.638467
jintur 1,80,3.1525,0.13314,15.52551,3.801803,0.26941833,14.118436
