Location,Density,N_Actual,P_Actual,K_Actual,N_Predicted,P_Predicted,K_Predicted
koregaon_soil_1,100,3.633504,0.144144,7.28112,3.697184,0.13945594,7.1278315
koregaon_soil_1,120,3.02792,0.12012,6.0676,3.3221362,0.12534611,8.028676
koregaon_soil_1,140,2.59536,0.10296,5.2008,2.6013439,0.10276523,8.680375
koregaon_soil_1,160,2.27094,0.09009,4.5507,2.1373596,0.042324007,5.15994
koregaon_soil_1,180,2.018613,0.08008,4.045067,2.1753476,0.06699505,6.089423
koregaon_soil_1,200,1.816752,0.072072,3.64056,1.779265,0.03449031,5.238452
koregaon_soil_1,220,1.651593,0.06552,3.3096,1.4261566,0.057869226,4.6798444
koregaon_soil_1,240,1.51396,0.06006,3.0338,1.2368728,0.10099237,2.9681957
koregaon_soil_1,60,6.05584,0.24024,12.1352,5.4590254,0.23431799,12.624257
koregaon_soil_1,80,4.54188,0.18018,9.1014,4.6455503,0.19169985,9.802623
