Location,Density,N_Actual,P_Actual,K_Actual,N_Predicted,P_Predicted,K_Predicted
manvat,100,2.597952,0.156744,9.930984,2.522003,0.14898752,10.461818
manvat,120,2.16496,0.13062,8.27582,2.350926,0.15542126,9.0043955
manvat,140,1.85568,0.11196,7.09356,1.9430746,0.10563278,7.353602
manvat,160,1.62372,0.097965,6.206865,1.6457452,0.13658097,6.293087
manvat,180,1.443307,0.08708,5.517213,1.552247,0.16880617,5.8303347
manvat,200,1.298976,0.078372,4.965492,1.3189188,0.09555881,5.3794403
manvat,220,1.180887,0.071247,4.514084,1.2393354,0.0,4.7159185
manvat,240,1.08248,0.06531,4.13791,1.1630493,0.0,4.1613216
manvat,60,4.32992,0.26124,16.55164,4.4285026,0.28619498,16.80037
manvat,80,3.24744,0.19593,12.41373,3.2725472,0.1773607,13.108628
