Location,Density,N_Actual,P_Actual,K_Actual,N_Predicted,P_Predicted,K_Predicted
taroda_afterChange,100,2.263128,0.125328,11.011056,1.9461495,0.12595561,9.961055
taroda_afterChange,120,1.88594,0.10444,9.17588,1.8425456,0.11944856,9.691672
taroda_afterChange,140,1.61652,0.08952,7.86504,1.6571218,0.071001336,8.392447
taroda_afterChange,160,1.414455,0.07833,6.88191,1.4160092,0.04910788,6.8318405
taroda_afterChange,180,1.257293,0.069627,6.117253,1.3763449,0.040765345,6.536379
taroda_afterChange,200,1.131564,0.062664,5.505528,1.3078793,0.069815665,5.5436707
taroda_afterChange,220,1.028695,0.056967,5.005025,1.2465339,0.10764997,4.525283
taroda_afterChange,240,0.94297,0.05222,4.58794,1.3494223,0.120730996,4.94682
taroda_afterChange,60,3.77188,0.20888,18.35176,2.9036884,0.17694841,15.653342
taroda_afterChange,80,2.82891,0.15666,13.76382,2.5318859,0.18984921,12.462389
