Location,Density,N_Actual,P_Actual,K_Actual,N_Predicted,P_Predicted,K_Predicted
ujawala_phata_afterChange,100,1.886304,0.14028,8.00436,1.2744254,0.21414763,7.0991025
ujawala_phata_afterChange,120,1.57192,0.1169,6.6703,1.3090252,0.10057391,6.5543575
ujawala_phata_afterChange,140,1.34736,0.1002,5.7174,1.3108284,0.120147705,6.4218616
ujawala_phata_afterChange,160,1.17894,0.087675,5.002725,0.98321414,0.15364747,3.7792866
ujawala_phata_afterChange,180,1.047947,0.77933,4.446867,0.97829944,0.28006902,4.150563
ujawala_phata_afterChange,200,0.943152,0.07014,4.00218,1.0553288,0.1422982,4.301449
ujawala_phata_afterChange,220,0.857411,0.063764,3.638345,0.92734873,0.1765088,4.568589
ujawala_phata_afterChange,240,0.78596,0.05845,3.33515,0.82579315,0.12838897,3.4542325
ujawala_phata_afterChange,60,3.14384,0.2338,13.3406,2.8062587,0.2669508,13.023604
ujawala_phata_afterChange,80,2.35788,0.17535,10.00545,2.2631943,0.13728023,10.264361
