Location,Density,N_Actual,P_Actual,K_Actual,N_Predicted,P_Predicted,K_Predicted
ujwala,100,2.053632,0.25536,10.3358,2.0531368,0.2672909,10.4609375
ujwala,120,1.71136,0.2128,8.61322,1.7982963,0.2266881,8.311653
ujwala,140,1.46688,0.1824,7.38276,1.391659,0.18632598,7.567381
ujwala,160,1.28352,0.1596,6.459915,1.2299758,0.168637,6.6229124
ujwala,180,1.140907,0.14186,5.742147,1.100443,0.14659674,5.7089024
ujwala,200,1.026816,0.12768,5.167932,1.0773096,0.12818651,5.3706093
ujwala,220,0.933469,0.116073,4.69812,0.98719484,0.08409995,4.377146
ujwala,240,0.85568,0.1064,4.30661,1.0613195,0.06421307,3.4544213
ujwala,60,3.42272,0.4256,17.22644,3.5317242,0.4272329,17.604166
ujwala,80,2.56704,0.3192,12.91983,2.438694,0.3072583,13.107863
